pitch,vel,dur,db(lab),db(audi),duration(lab),duration(audi)
22.0,81.0,0.1,3.982930593397937,9.61698803441082,0.0,0.0
22.0,81.0,0.3,3.982930593397937,9.61698803441082,0.0,0.0
22.0,81.0,0.7,3.982930593397937,9.61698803441082,0.0,0.0
22.0,81.0,1.0,3.982930593397937,9.61698803441082,0.0,0.0
22.0,89.0,0.1,4.513056832439591,12.003599460283409,0.0,0.0
22.0,89.0,0.3,4.513056832439591,12.003599460283409,0.0,0.0
22.0,89.0,0.7,4.513056832439591,12.003599460283409,0.0,0.0
22.0,89.0,1.0,4.513056832439591,12.003599460283409,0.0,0.0
22.0,97.0,0.1,4.718372418443539,16.420477048677412,0.0,0.0
22.0,97.0,0.3,4.718372418443539,16.420477048677412,0.0,0.0
22.0,97.0,0.7,4.718372418443539,16.420477048677412,0.0,0.0
22.0,97.0,1.0,4.718372418443539,16.420477048677412,0.0,0.0
22.0,105.0,0.1,4.7139515171949,16.44117877028795,0.0,0.0
22.0,105.0,0.3,4.7139515171949,16.44117877028795,0.0,0.0
22.0,105.0,0.7,4.7139515171949,16.44117877028795,0.0,0.0
22.0,105.0,1.0,4.7139515171949,16.44117877028795,0.0,0.0
22.0,113.0,0.1,4.7033485436230285,16.742229099390354,0.0,0.0
22.0,113.0,0.3,4.7033485436230285,16.742229099390354,0.0,0.0
22.0,113.0,0.7,4.7033485436230285,16.742229099390354,0.0,0.0
22.0,113.0,1.0,4.7033485436230285,16.742229099390354,0.0,0.0
22.0,121.0,0.1,4.67351497906129,14.990066189535739,0.0,0.0
22.0,121.0,0.3,4.67351497906129,14.990066189535739,0.0,0.0
22.0,121.0,0.7,4.67351497906129,14.990066189535739,0.0,0.0
22.0,121.0,1.0,4.67351497906129,14.990066189535739,0.0,0.0
22.0,127.0,0.1,4.654977539573566,15.204068173099005,0.0,0.0
22.0,127.0,0.3,4.654977539573566,15.204068173099005,0.0,0.0
22.0,127.0,0.7,4.654977539573566,15.204068173099005,0.0,0.0
22.0,127.0,1.0,4.654977539573566,15.204068173099005,0.0,0.0
23.0,1.0,0.1,0.6334771751736848,0.039386323506461124,0.0,0.0
23.0,1.0,0.3,0.6334771751736848,0.039386323506461124,0.0,0.0
23.0,1.0,0.7,0.6334771751736848,0.039386323506461124,0.0,0.0
23.0,1.0,1.0,0.6334771751736848,0.039386323506461124,0.0,0.0
23.0,9.0,0.1,0.6403341564666647,0.1193852837797257,0.0,0.0
23.0,9.0,0.3,0.6403341564666647,0.1193852837797257,0.0,0.0
23.0,9.0,0.7,0.6403341564666647,0.1193852837797257,0.0,0.0
23.0,9.0,1.0,0.6403341564666647,0.1193852837797257,0.0,0.0
23.0,17.0,0.1,0.5931353864093294,0.5193967105909554,0.0,0.0
23.0,17.0,0.3,0.5931353864093294,0.5193967105909554,0.0,0.0
23.0,17.0,0.7,0.5931353864093294,0.5193967105909554,0.0,0.0
23.0,17.0,1.0,0.5931353864093294,0.5193967105909554,0.0,0.0
23.0,25.0,0.1,0.8203333536123745,1.0335900351005893,0.0,0.0
23.0,25.0,0.3,0.8203333536123745,1.0335900351005893,0.0,0.0
23.0,25.0,0.7,0.8203333536123745,1.0335900351005893,0.0,0.0
23.0,25.0,1.0,0.8203333536123745,1.0335900351005893,0.0,0.0
23.0,33.0,0.1,0.9117007121426082,1.6628831014551608,0.0,0.0
23.0,33.0,0.3,0.9117007121426082,1.6628831014551608,0.0,0.0
23.0,33.0,0.7,0.9117007121426082,1.6628831014551608,0.0,0.0
23.0,33.0,1.0,0.9117007121426082,1.6628831014551608,0.0,0.0
23.0,41.0,0.1,1.1355003064533673,2.35984763973623,0.0,0.0
23.0,41.0,0.3,1.1355003064533673,2.35984763973623,0.0,0.0
23.0,41.0,0.7,1.1355003064533673,2.35984763973623,0.0,0.0
23.0,41.0,1.0,1.1355003064533673,2.35984763973623,0.0,0.0
23.0,49.0,0.1,1.4992256891582902,3.1906254227330684,0.0,0.0
23.0,49.0,0.3,1.4992256891582902,3.1906254227330684,0.0,0.0
23.0,49.0,0.7,1.4992256891582902,3.1906254227330684,0.0,0.0
23.0,49.0,1.0,1.4992256891582902,3.1906254227330684,0.0,0.0
23.0,57.0,0.1,2.108190299217885,4.199019967757337,0.0,0.0
23.0,57.0,0.3,2.108190299217885,4.199019967757337,0.0,0.0
23.0,57.0,0.7,2.108190299217885,4.199019967757337,0.0,0.0
23.0,57.0,1.0,2.108190299217885,4.199019967757337,0.0,0.0
23.0,65.0,0.1,2.625373720748488,5.6146400135632115,0.0,0.0
23.0,65.0,0.3,2.625373720748488,5.6146400135632115,0.0,0.0
23.0,65.0,0.7,2.625373720748488,5.6146400135632115,0.0,0.0
23.0,65.0,1.0,2.625373720748488,5.6146400135632115,0.0,0.0
23.0,73.0,0.1,3.1800337881478935,7.1929715720962015,0.0,0.0
23.0,73.0,0.3,3.1800337881478935,7.1929715720962015,0.0,0.0
23.0,73.0,0.7,3.1800337881478935,7.1929715720962015,0.0,0.0
23.0,73.0,1.0,3.1800337881478935,7.1929715720962015,0.0,0.0
23.0,81.0,0.1,3.842783226453042,9.183436659352047,0.0,0.0
23.0,81.0,0.3,3.842783226453042,9.183436659352047,0.0,0.0
23.0,81.0,0.7,3.842783226453042,9.183436659352047,0.0,0.0
23.0,81.0,1.0,3.842783226453042,9.183436659352047,0.0,0.0
23.0,89.0,0.1,4.32914790217947,11.555701060752929,0.0,0.0
23.0,89.0,0.3,4.32914790217947,11.555701060752929,0.0,0.0
23.0,89.0,0.7,4.32914790217947,11.555701060752929,0.0,0.0
23.0,89.0,1.0,4.32914790217947,11.555701060752929,0.0,0.0
23.0,97.0,0.1,4.649309913636192,14.682858378662708,0.0,0.0
23.0,97.0,0.3,4.649309913636192,14.682858378662708,0.0,0.0
23.0,97.0,0.7,4.649309913636192,14.682858378662708,0.0,0.0
23.0,97.0,1.0,4.649309913636192,14.682858378662708,0.0,0.0
23.0,105.0,0.1,4.6372908451546335,14.994614128719348,0.0,0.0
23.0,105.0,0.3,4.6372908451546335,14.994614128719348,0.0,0.0
23.0,105.0,0.7,4.6372908451546335,14.994614128719348,0.0,0.0
